Web link,Provider URN,Provider status,Provider type,Sector,Organisation name,Provider name,Provider address 1,Provider address 2,Provider town,Provider postcode,Local Authority,Region,Inspection Number,Inspection date,Inspection type group,Overall Effectiveness,Outcomes in education and related learning activities,How well children and young people are helped and protected,The impact and effectiveness of leaders and managers
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1223501,1223501,Active,Children's Home,Private,Hexagon Care Services Limited,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Lancashire,North West,10050994,28/11/2018,Full inspection,Outstanding,,Outstanding,Outstanding
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1223681,1223681,Active,Children's Home,Private,Sandcastle Care Ltd,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Lancashire,North West,10051019,05/12/2018,Full inspection,Good,,Good,Good
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1226975,1226975,Active,Children's Home,Private,Horizon Care And Education Group Limited,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Leicestershire,East Midlands,10050990,17/10/2018,Full inspection,Good,,Good,Outstanding
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1227060,1227060,Active,"Residential special school registered as a children's home
",Private,Cambian Autism Services Limited,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North Yorkshire,"North East, Yorkshire and The Humber",10050969,07/11/2018,Full inspection,Inadequate,,Inadequate,Inadequate
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1227060,1227060,Active,"Residential special school registered as a children's home
",Private,Cambian Autism Services Limited,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North Yorkshire,"North East, Yorkshire and The Humber",10085962,13/12/2018,Monitoring visit,,,,
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1227330,1227330,Active,Children's Home,Private,Positive Outcomes Childcare Ltd,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Telford & Wrekin,West Midlands,10083987,08/11/2018,Full inspection,Good,,Good,Requires improvement to be good
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1227335,1227335,Active,Children's Home,Private,Exceptional Care Ltd,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Lancashire,North West,10051049,11/10/2018,Full inspection,Inadequate,,Inadequate,Inadequate
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1227335,1227335,Active,Children's Home,Private,Exceptional Care Ltd,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Lancashire,North West,10083591,12/12/2018,Monitoring visit,,,,
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1227596,1227596,Active,Children's Home,Private,Reflexion Care Group Limited,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Staffordshire,West Midlands,10051001,17/10/2018,Full inspection,Outstanding,,Outstanding,Outstanding
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1227788,1227788,Active,Children's Home,Private,Solent Child Care Ltd,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Somerset,South West,10051002,22/11/2018,Full inspection,Good,,Good,Good
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1228091,1228091,Active,Children's Home,Private,Phoenix Care And Education Ltd,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Cheshire West and Chester,North West,10054253,21/11/2018,Interim inspection,Not judged,,,
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1228191,1228191,Active,Children's Home,Private,Aspireone Care Ltd,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Staffordshire,West Midlands,10051027,24/10/2018,Full inspection,Good,,Good,Outstanding
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1229229,1229229,Active,Children's Home,Private,Esland North Limited,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Nottinghamshire County Council,East Midlands,10051012,17/10/2018,Full inspection,Outstanding,,Outstanding,Outstanding
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1229534,1229534,Active,Children's Home,Private,Halliwell Homes Limited,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Lancashire,North West,10021651,31/10/2018,Full inspection,Good,,Good,Inadequate
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1229762,1229762,Active,Children's Home,Private,Horizon Care And Education Group Limited,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Leicestershire,East Midlands,10051004,07/11/2018,Full inspection,Good,,Good,Good
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1229766,1229766,Active,"Residential special school registered as a children's home
",Private,Aurora Care and Education Opco Limited,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Cambridgeshire,East of England,10050985,12/12/2018,Full inspection,Good,,Good,Requires improvement to be good
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1230411,1230411,Active,Children's Home,Local Authority,Surrey County Council,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Surrey,South East,10051023,15/11/2018,Full inspection,Good,,Requires improvement to be good,Requires improvement to be good
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1230415,1230415,Active,Children's Home,Private,Beacon Childcare,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Birmingham,West Midlands,10085409,21/11/2018,Monitoring visit,,,,
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1231067,1231067,Active,Children's Home,Private,One To One Crisis Intervention Ltd,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Devon,South West,10051006,20/11/2018,Full inspection,Good,,Good,Good
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1231399,1231399,Active,Children's Home,Private,Sandcastle Care Ltd,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Blackpool,North West,10051060,06/12/2018,Full inspection,Outstanding,,Outstanding,Outstanding
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1231404,1231404,Active,Children's Home,Private,Courtyard Care Limited,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Liverpool,North West,10051170,09/11/2018,Full inspection,Good,,Good,Good
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1231812,1231812,Active,Children's Home,Private,Meadows Care Ltd,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Birmingham,West Midlands,10051096,09/11/2018,Full inspection,Good,,Good,Good
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1232657,1232657,Active,Children's Home,Private,Compass Children's Homes Ltd,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Solihull,West Midlands,10051759,13/12/2018,Interim inspection,Improved effectiveness,,,
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1233899,1233899,Active,Children's Home,Private,Active Ark Limited,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Cumbria,North West,10077659,25/10/2018,Full inspection,Good,,Good,Requires improvement to be good
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1233981,1233981,Active,Children's Home,Private,Time-Out Children's Homes Ltd,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Kirklees,"North East, Yorkshire and The Humber",10051084,18/10/2018,Full inspection,Outstanding,,Good,Outstanding
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1234163,1234163,Active,Children's Home,Private,Jamores Limited,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Kent,South East,10051738,19/12/2018,Interim inspection,Declined effectiveness,,,
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1234244,1234244,Active,Children's Home,Private,Horizon Care And Education Group Limited,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Leicestershire,East Midlands,10051032,11/12/2018,Full inspection,Good,,Good,Outstanding
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1234624,1234624,Active,Children's Home,Private,Esland North Limited,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Wiltshire,South West,10051095,28/11/2018,Full inspection,Good,,Requires improvement to be good,Requires improvement to be good
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1235384,1235384,Active,Children's Home,Private,New Horizons (nw) Ltd,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Lancashire,North West,10051081,03/10/2018,Full inspection,Requires improvement to be good,,Requires improvement to be good,Requires improvement to be good
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1236278,1236278,Active,Children's Home,Private,The Priory Group,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Cornwall,South West,10081777,30/11/2018,Full inspection,Inadequate,,Inadequate,Inadequate
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1236278,1236278,Active,Children's Home,Private,The Priory Group,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Cornwall,South West,10056649,11/10/2018,Full inspection,Inadequate,,Inadequate,Inadequate
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1236278,1236278,Active,Children's Home,Private,The Priory Group,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Cornwall,South West,10086483,19/12/2018,Monitoring visit,,,,
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1236387,1236387,Active,Children's Home,Private,The Priory Group,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Hampshire,South East,10051038,16/10/2018,Full inspection,Good,,Outstanding,Good
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1236450,1236450,Active,Children's Home,Private,CareTech Community Services Limited,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Kirklees,"North East, Yorkshire and The Humber",10051083,19/12/2018,Full inspection,Outstanding,,Outstanding,Outstanding
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1236620,1236620,Active,Children's Home,Private,Cambian Childcare Limited,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Somerset,South West,10051729,13/11/2018,Interim inspection,Improved effectiveness,,,
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1236625,1236625,Active,Children's Home,Private,Happy Group (UK) Limited,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Leicestershire,East Midlands,10051072,08/11/2018,Full inspection,Good,,Requires improvement to be good,Requires improvement to be good
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1236771,1236771,Active,Children's Home,Private,Hexagon Care Services Limited,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Sefton,North West,10051097,28/11/2018,Full inspection,Requires improvement to be good,,Requires improvement to be good,Requires improvement to be good
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1236916,1236916,Active,Children's Home,Private,Utopia Children's Services Ltd,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North Somerset,South West,10051056,12/12/2018,Full inspection,Inadequate,,Inadequate,Inadequate
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1240269,1240269,Active,Children's Home,Private,Newrays Care Services Ltd,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Sandwell,West Midlands,10078183,19/10/2018,Monitoring visit,,,,
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1240573,1240573,Active,Children's Home,Private,Sandcastle Care Ltd,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Lancashire,North West,10051146,24/10/2018,Full inspection,Good,,Good,Good
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1240802,1240802,Active,Children's Home,Private,Cambian Childcare Limited,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Somerset,South West,10051065,18/10/2018,Full inspection,Good,,Good,Good
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1241261,1241261,Active,Children's Home,Private,The Place Young Peoples Company,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Leicestershire,East Midlands,10051112,25/10/2018,Full inspection,Good,,Good,Good
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1241263,1241263,Active,Children's Home,Private,Aspire Care And Education Services,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Kent,South East,10051125,31/10/2018,Full inspection,Outstanding,,Outstanding,Outstanding
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1241407,1241407,Active,Children's Home,Private,Evergreen Children's Home Ltd,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Birmingham,West Midlands,10086414,03/12/2018,Interim inspection,Declined effectiveness,,,
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1241970,1241970,Active,Children's Home,Private,Sandcastle Care Ltd,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Cumbria,North West,10051166,19/12/2018,Full inspection,Outstanding,,Outstanding,Outstanding
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1242216,1242216,Active,Children's Home,Private,Keys Childcare Ltd,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Leicestershire,East Midlands,10051102,12/12/2018,Full inspection,Good,,Good,Good
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1243958,1243958,Active,"Residential special school registered as a children's home
",Private,Aurora Care and Education Opco Limited,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Bristol City of,South West,10078286,13/12/2018,Full inspection,Requires improvement to be good,,Requires improvement to be good,Requires improvement to be good
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1243958,1243958,Active,"Residential special school registered as a children's home
",Private,Aurora Care and Education Opco Limited,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Bristol City of,South West,10078287,09/10/2018,Monitoring visit,,,,
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1244000,1244000,Active,Children's Home,Private,CareTech Community Services Limited,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Telford & Wrekin,West Midlands,10051105,27/11/2018,Full inspection,Outstanding,,Outstanding,Outstanding
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1244108,1244108,Active,Children's Home,Private,Bay Tree House (gravesend) Limited,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Kent,South East,10051269,16/11/2018,Full inspection,Good,,Good,Good
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1244137,1244137,Active,Children's Home,Private,Phoenix Learning And Care Ltd,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Devon,South West,10051123,09/11/2018,Full inspection,Good,,Good,Good
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1244160,1244160,Active,Children's Home,Private,Witherslack Group Ltd,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Oxfordshire,South East,10051119,12/12/2018,Full inspection,Good,,Requires improvement to be good,Good
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1244280,1244280,Active,Children's Home,Private,Witherslack Group Ltd,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Bradford,"North East, Yorkshire and The Humber",10051131,28/11/2018,Full inspection,Inadequate,,Inadequate,Requires improvement to be good
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1244283,1244283,Active,Children's Home,Private,Sandcastle Care Ltd,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Lancashire,North West,10051167,17/10/2018,Full inspection,Good,,Good,Good
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1244287,1244287,Active,Children's Home,Private,Roc Northwest Ltd,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Lancashire,North West,10051116,22/11/2018,Full inspection,Good,,Good,Good
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1244384,1244384,Active,Children's Home,Private,Blackford Education (schools) Ltd,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Somerset,South West,10051135,15/11/2018,Full inspection,Good,,Good,Good
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1244386,1244386,Active,Children's Home,Private,Sankofa Care Ltd,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Croydon,London,10051264,17/10/2018,Full inspection,Requires improvement to be good,,Requires improvement to be good,Requires improvement to be good
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1244881,1244881,Active,Children's Home,Private,Time-Out Children's Homes Ltd,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Rochdale,North West,10051098,07/11/2018,Full inspection,Good,,Good,Good
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1245979,1245979,Active,Children's Home,Private,The Priory Group,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Birmingham,West Midlands,10051106,01/11/2018,Full inspection,Good,,Good,Good
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1245984,1245984,Active,Children's Home,Private,The Priory Group,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Birmingham,West Midlands,10051739,20/11/2018,Interim inspection,Improved effectiveness,,,
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1246331,1246331,Active,Children's Home,Private,My3 Limited,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Lancashire,North West,10051178,07/11/2018,Full inspection,Good,,Good,Good
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1246831,1246831,Active,Children's Home,Private,Beaufort Care Group,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Bournemouth,South West,10082991,30/10/2018,Monitoring visit,,,,
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1246834,1246834,Active,Children's Home,Private,The Amicus Community Arundel Limited,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Sussex,South East,10051124,17/10/2018,Full inspection,Good,,Good,Requires improvement to be good
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1247384,1247384,Active,Children's Home,Private,Solent Child Care Ltd,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Hampshire,South East,10051164,04/12/2018,Full inspection,Outstanding,,Good,Outstanding
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1247491,1247491,Active,Children's Home,Private,Keys Group Progressive Care & Education Limited,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Liverpool,North West,10051149,30/11/2018,Full inspection,Good,,Good,Requires improvement to be good
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1247670,1247670,Active,Children's Home,Private,West Cumbria Care and Support,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Cumbria,North West,10051160,28/11/2018,Full inspection,Outstanding,,Outstanding,Outstanding
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1247764,1247764,Active,Children's Home,Private,Compass Children's Homes Ltd,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Herefordshire,West Midlands,10051204,16/10/2018,Full inspection,Good,,Good,Good
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1247765,1247765,Active,Children's Home,Private,Compass Children's Homes Ltd,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Herefordshire,West Midlands,10051201,29/11/2018,Full inspection,Good,,Good,Good
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1247773,1247773,Active,Children's Home,Private,Keys Group Progressive Care & Education Limited,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Manchester,North West,10051145,12/10/2018,Full inspection,Good,,Good,Good
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1247885,1247885,Active,Children's Home,Voluntary,Carlisle Mencap Ltd,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Cumbria,North West,10051180,30/10/2018,Full inspection,Outstanding,,Outstanding,Outstanding
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1248509,1248509,Active,Children's Home,Private,Good News Nwk Ltd,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Northamptonshire,East Midlands,10051225,08/11/2018,Full inspection,Requires improvement to be good,,Requires improvement to be good,Requires improvement to be good
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1248979,1248979,Active,Children's Home,Private,Little Belsteads Care Home Limited,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Essex,East of England,10051762,06/12/2018,Interim inspection,Sustained effectiveness,,,
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1249123,1249123,Active,Children's Home,Private,Reflexion Care Group Limited,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Cumbria,North West,10051233,21/11/2018,Full inspection,Good,,Good,Good
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1249196,1249196,Active,Children's Home,Private,Headway Adolescent Resources Limited,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Somerset,South West,10051173,10/10/2018,Full inspection,Good,,Good,Good
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1249259,1249259,Active,Children's Home,Private,The Priory Group,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Hampshire,South East,10051205,07/11/2018,Full inspection,Good,,Requires improvement to be good,Good
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1249326,1249326,Active,Children's Home,Private,Unity Residential Care Services,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Staffordshire,West Midlands,10051764,06/12/2018,Interim inspection,Improved effectiveness,,,
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1249787,1249787,Active,Children's Home,Private,One To One Crisis Intervention Ltd,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Devon,South West,10051159,18/10/2018,Full inspection,Outstanding,,Outstanding,Outstanding
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1250186,1250186,Active,Children's Home,Private,Care 4 Children Residential Services Ltd,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Telford & Wrekin,West Midlands,10051235,03/10/2018,Full inspection,Outstanding,,Good,Outstanding
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/CARE/1250196,1250196,Active,Children's Home,Private,First 4 Care Ltd,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Doncaster,"North East, Yorkshire and The Humber",10051230,03/10/2018,Full inspection,Good,,Good,Good
